geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
2073124,Darwin,Darwin,"DRW,Daarwin,Darvin,Darvina,Darvinas,Darvino,Darwin,D?rvina,Gorad Darvin,Ntargouin,Palmerston,Port Darwin,da er wen,da er wen gang,dar win,dara'u'ina,daravina,darvina,darvini,darwyn,darwyn  alaqlym alshmaly,dau~in,dawin,drwwyn,tarvin,?????????,????? ??????,??????,??????,???????,??????,??????? ??????? ???????,??????,?????,???????,??????,??????,????????,???????,???????,?????,???,????,??",-12.46113,130.84185,P,PPLA,AU,,3,71000,,,129062,,31,Australia/Darwin,25/06/2013
2075265,Busselton,Busselton,"BQB,Busselton,bwsltwn,???????,?????????",-33.65249,115.3455,P,PPL,AU,,8,51260,,,21898,,7,Australia/Perth,25/06/2013
2075432,Bunbury,Bunbury,"BUY,Banberi,Bunbury,ban bo li,banbari,banbary,banberi,beonbeoli,bnbry,???????,???????,?????,???????,?????,???,???",-33.32711,115.64137,P,PPL,AU,,8,51190,,,68248,,5,Australia/Perth,25/06/2013
2077579,Armadale,Armadale,Armadale,-32.14607,116.0093,P,PPL,AU,,8,50210,,,62296,,54,Australia/Perth,6/10/2013
2077895,Alice Springs,Alice Springs,"ASP,Alice Springs,Alice Springs Region,Alis Springs,Alis-Springs,Elis Springsas,Springs,Stuart,aelliseuseupeulingseu,ai li si quan,alys aspryngz,arisusupuringusu,ayls sprngz,???? ???????,????-???????,????-???????,???? ???????,???? ????????,???? ??????,???? ??????????,????-????????,?????????,????,???????",-23.69748,133.88362,P,PPL,AU,,3,70200,,,25186,,583,Australia/Darwin,25/06/2013
2077963,Albany,Albany,"ALH,Albani,Albany,Olbani,albany,ao ban ni,arubani,olbani,olbeoni,??????,??????,??????,??????,??????,??????,?????,???,???",-35.0031,117.86595,P,PPL,AU,,8,50080,,,33650,,50,Australia/Perth,25/06/2013
2078025,Adelaide,Adelaide,"ADL,Adelaida,Adelaidae,Adelaide,Adelaidis,Adelaid?,Adelajda,Adelajdo,Adelaïda,Adelaïde,Adelejd,Adelàida,Adélaïde,Edelaid,Gorad Adehlaida,Tarndanya,Tarndarnya,a de lai de,adelaida,aderedo,adilaid,adiled,adlayd,adylyd,aedeulleideu,atileyit,edile'ida,edileda,????????,???????æ,????????,????????,???????,???????,????? ????????,????????,??????,??????,??????,?????????,???????,??????,?daleda,?????,???????,?????????,???????,???????,??????????,???????,?????????????,????????,?????,????,????,?????",-34.92866,138.59863,P,PPLA,AU,,5,40070,,,1225235,,59,Australia/Adelaide,16/07/2014
2143069,Woodridge,Woodridge,Woodridge,-27.63333,153.1,P,PPL,AU,,4,34590,,,20650,,40,Australia/Brisbane,25/06/2013
2143285,Wodonga,Wodonga,"Uodonga,Wodonga,uodonga,wo dong jia,wo tong ge,wodong-ga,???????,???????,???????,???,???,???",-36.12179,146.88809,P,PPL,AU,,7,27170,,,31605,,167,Australia/Melbourne,29/07/2013
2144528,Warrnambool,Warrnambool,"Gouornampoul,Uornambul,Vornambul,WMB,Warrnambool,uornambuli,u~onanburu,warnmbwl,????????????,?????????,?????????,????????,??????????,????????",-38.38176,142.48799,P,PPL,AU,,7,26730,,,33982,,24,Australia/Melbourne,29/07/2013
